Name,Latitude,Longitude
"Indonesia",118.75733483200008,-5.678806247999944
"Malaysia",109.52843550600005,0.8513703410001057
"Chile",-75.70470130099994,-53.87468840899993
"Bolivia",-69.57763464399994,-22.833592223999872
"Peru",-81.33755752899992,-18.337746206368088
"Argentina",-73.53057165599998,-52.346617015999925
"United Kingdom",-6.0034073559999115,49.96674225500004
"Cyprus",32.41334069100009,34.63442454100009
"India",68.18303470100005,8.075995184000078
"China",73.63264204900014,20.247992255000042
"Israel",34.24531250000001,29.555029296874995
"Lebanon",35.10523522200009,33.057156474000024
"Ethiopia",33.05129480000011,3.4623737590000303
"S. Sudan",24.13137414500011,3.4902015180000916
"Somalia",40.96538537600014,-1.6963029929999607
"Kenya",33.89356896900006,-4.677504164999931
"Malawi",32.7228393960001,-17.104226175999955
"Tanzania",29.32103153500009,-11.722590839999924
"Syria",35.75759034900011,32.31678822900007
"France",-4.563628709999932,42.35235138000009
"Suriname",-58.067691202999924,1.8335067750000604
"Guyana",-61.37960791099988,1.2178079220000626
"South Korea",126.27108808700007,34.44490102000009
"North Korea",124.36996504000001,37.806301174000055
"Morocco",-17.013743325393165,21.419971097583428
"Costa Rica",-85.8616023429999,8.034748020000023
"Nicaragua",-87.6465144519999,10.718054911000053
"Congo",11.114016304109821,-5.019630835999919
"Dem. Rep. Congo",12.210541212000066,-13.433855895999983
"Bhutan",88.89233077000011,26.70100697900004
"Ukraine",22.13283980300011,45.21588776200008
"Palestine",34.95097656250002,31.3662109375
"Belarus",23.165644979000035,51.48442962700004
"Namibia",11.717621290000068,-28.959368183999885
"South Africa",16.487071160000085,-34.80868905999995
"Netherlands",4.141856316000087,50.749926656000085
"Oman",51.97861495000012,16.642401434000078
"Uzbekistan",55.97583866300005,37.18886810300005
"Kazakhstan",46.47931237800009,40.58465566000011
"Tajikistan",67.37819177300008,36.70484080000004
"Lithuania",21.053396030000044,53.93929270400004
"Brazil",-73.96938207999992,-33.74067597231428
"Uruguay",-58.38882402299993,-34.96990325299993
"Mongolia",87.81632409700006,41.596144308000035
"Russia",27.352934611000137,41.20818349200003
"Czechia",12.336486857000068,48.58954172800007
"Germany",5.928040812000063,47.30217844700009
"Estonia",23.470876498000052,57.51581858300001
"Latvia",21.053396030000044,55.66699086600006
"Norway",4.964121941000087,58.03070709800005
"Sweden",11.224864129000082,55.34601471600007
"Finland",20.62316451000001,59.89801666900007
"Vietnam",102.11865523300008,8.634275390000084
"Cambodia",102.32820316600004,10.419663804000038
"Luxembourg",5.714927205000038,49.4553486520001
"United Arab Emirates",51.569346550000034,22.620945943000052
"Belgium",2.521799927545686,49.53775258500012
"Georgia",39.985976355436605,41.044834290000054
"North Macedonia",20.477747029000113,40.849394023000045
"Albania",19.272032511000106,39.69350820500006
"Azerbaijan",45.0023999440001,38.39597788500002
"Kosovo",20.064955688000055,41.87318166200002
"Turkey",26.152598504000082,35.81977854500006
"Spain",-9.217600063999953,36.00645579600007
"Laos",100.09929528800012,13.936850688000021
"Kyrgyzstan",69.2861890050001,39.32881500300009
"Armenia",43.44042810000013,38.86370127400001
"Denmark",8.106455925000091,54.81041112738269
"Libya",9.286543823000073,19.496123759000014
"Tunisia",7.47983239800007,30.22890533500008
"Romania",20.24282596900008,43.65428741500004
"Hungary",16.09403527800012,45.743203837000024
"Slovakia",16.84448042800011,47.75000640900008
"Poland",14.200818737000134,49.072199606000126
"Ireland",-10.275786912999934,51.54938385600008
"Greece",19.999847852000073,36.67357005400004
"Zambia",21.97987756300006,-18.06582122799992
"Sierra Leone",-13.30109615799995,6.919419664000088
"Guinea",-15.020985480999911,7.248602600000069
"Liberia",-11.476185675999943,4.352844581897472
"Central African Rep.",14.39770471200012,2.2364537560000457
"Sudan",21.809448690000124,8.689327330000111
"Djibouti",41.74911014800006,10.97067515100008
"Eritrea",36.423647095000035,12.360021871000086
"Austria",9.52115482500011,46.418356426000074
"Iraq",38.77451135200005,29.063136699000026
"Italy",6.6027283120000675,37.949204820000034
"Switzerland",6.064156535000052,45.914459534000045
"Iran",44.06137211100014,25.059408165000036
"Liechtenstein",9.484981323000085,47.05687042300006
"Côte d'Ivoire",-8.566113240999897,4.352844581897472
"Serbia",18.90130578600008,42.24628930200005
"Mali",-12.2641304119999,10.161990662000065
"Senegal",-17.178212042999917,12.305606588000089
"Nigeria",2.6722188720001157,4.278143622000073
"Benin",0.768769164000048,6.213893947000088
"Angola",11.736618369000041,-18.031404723999884
"Croatia",13.58952884200005,42.94208405200004
"Slovenia",13.365261271000094,45.423636779999995
"Qatar",50.750987175000034,24.625850361000076
"Saudi Arabia",34.62671959700009,16.37095774900007
"Botswana",19.978345988000115,-26.865335794999908
"Zimbabwe",25.259780721000112,-22.39733978299992
"Pakistan",60.844378703000075,23.80345286700009
"Bulgaria",22.345023234000053,41.23939605700009
"Thailand",97.43811405500003,5.637641500000072
"Haiti",-74.48916581899994,18.039252020000063
"Dominican Rep.",-71.91216914899985,17.604803778000075
"Chad",13.449183797000103,7.457995504000067
"Kuwait",46.53243575000005,28.53350494400003
"El Salvador",-90.09904353899995,13.158636786000045
"Guatemala",-92.24625650399989,13.731404008980572
"Timor-Leste",124.91950720683661,-9.485772393999923
"Brunei",113.99878991000003,4.021435242000038
"Algeria",-8.68238521299989,18.98168487600013
"Mozambique",30.214465373000053,-26.84612395599993
"eSwatini",30.785696655000038,-27.31626434299993
"Burundi",29.015365438000117,-4.461587014999864
"Rwanda",28.85883752400011,-2.8082512409999367
"Myanmar",92.1836544190001,10.350531317000048
"Bangladesh",88.02178959200006,21.061102606000077
"Andorra",1.4292973220001102,42.43464609800007
"Afghanistan",60.48677779100012,29.386605326000037
"Montenegro",18.43735477700011,41.85236237200007
"Bosnia and Herz.",15.717314087000148,42.55921213800009
"Uganda",29.556004273000042,-1.3883895879999528
"Cuba",-84.39102128799993,19.85569896000004
"Honduras",-89.36162084999998,12.98155345300006
"Ecuador",-80.91618021799991,-4.961246438999922
"Colombia",-78.84605195599994,-4.236484476999905
"Paraguay",-62.65035721899994,-27.487313333999907
"Portugal",-9.491688605999911,37.022691148000035
"Moldova",26.617889038000015,45.46177398700006
"Turkmenistan",52.43767061735559,35.22270904500003
"Jordan",34.9493851167955,29.189950663999994
"Nepal",80.0363855390001,26.353327942000064
"Lesotho",27.01486739100008,-30.64970428499994
"Cameroon",8.594167514000048,1.793276672000033
"Gabon",8.800303582000083,-3.936856189796041
"Niger",0.15294112100011148,11.69577301000001
"Burkina Faso",-5.5225780849998785,9.488724263000037
"Togo",-0.1661091709999596,6.100490627000056
"Ghana",-3.262509317999985,4.737127997000073
"Guinea-Bissau",-16.728436776914492,10.967474677000041
"United States of America",-124.73460723799991,25.12140534100007
"Canada",-141.00556393099993,41.676811219000044
"Mexico",-117.12512148894416,14.546279476000095
"Belize",-89.23651220799991,15.89391469300007
"Panama",-82.94428645899987,7.212551174000055
"Venezuela",-73.37781612199987,0.6901398720000884
"Papua New Guinea",140.84921106000002,-10.681898695999905
"Egypt",24.688342732000137,21.9943692020001
"Yemen",42.699229363000086,12.61912669500009
"Mauritania",-17.05687415299991,14.774939067000034
"Eq. Guinea",9.40756269600007,0.9983539398986778
"Gambia",-16.829701300999943,13.065008856000077
"Australia",113.38526451900009,-38.89576588299991
"Fiji",178.60230553500003,-16.998793226999908
"New Zealand",173.10027103000004,-41.60979583099993
"Madagascar",43.22291100400008,-25.584161065999922
"Philippines",119.87891686300009,12.831854559000078
"Sri Lanka",79.76384524800005,5.923732815000051
"Bahamas",-77.81236731699994,26.203924872000073
"Taiwan",120.05941816500001,22.295070705000057
"Japan",130.86158287900003,33.48154548800005
"Iceland",-24.19668535099993,63.39671458500004
"Kiribati",-157.44896399599992,1.7639020850000406
"Trinidad and Tobago",-61.602121548999946,10.138251044000071
"Grenada",-61.756418423999946,12.08038971600007
"St. Vin. and Gren.",-61.27135169199994,13.146063544000071
"Barbados",-59.65420488199993,13.084662177000041
"Saint Lucia",-61.07591712099992,13.72211334800005
"Dominica",-61.48892167899993,15.20180898600006
"Antigua and Barb.",-61.88361568899995,17.028550523000092
"St. Kitts and Nevis",-62.86107337099992,17.26561107000009
"Jamaica",-78.07518469999991,17.71670156500005
"Mauritius",57.357758009000065,-20.479668877999927
"Comoros",43.26286868600005,-11.821709893999923
"São Tomé and Principe",6.4616805350000845,0.03363678600004505
"Cabo Verde",-23.785755988999938,14.93553294500009
"Malta",14.342621290000068,35.801214911000045
"Singapore",103.64763431100005,1.2685000670000477
"Tonga",-175.32575436099992,-21.26799895599993
"Samoa",-172.74974524599992,-13.805352471999925
"Solomon Is.",158.5800887380001,-8.511325778999947
"Micronesia",158.125824415,6.7934431010000935
"Vanuatu",166.52263431100005,-15.65634530999995
"Palau",134.48755944100003,7.421128648000092
"Bahrain",50.45297285200007,25.85455963700008
"San Marino",12.385628745000105,43.892055514999996
"Monaco",7.365750207000076,43.72273028300003
"Vatican",12.452714082000085,41.90275194100009
"Seychelles",55.401702493555085,-4.750406668978492
"Marshall Is.",171.22641035200002,7.0676944030000755
"Tuvalu",179.19125410200002,-8.542087497999944
"Maldives",73.51201489529225,4.183312241903804
"Nauru",166.913422071,-0.5475399719999245
